Frame,Time,pelvis_torso_X,pelvis_torso_Y,pelvis_torso_Z,pelvis_l_thigh_X,pelvis_l_thigh_Y,pelvis_l_thigh_Z,pelvis_r_thigh_X,pelvis_r_thigh_Y,pelvis_r_thigh_Z,torso_head_X,torso_head_Y,torso_head_Z,torso_l_uarm_X,torso_l_uarm_Y,torso_l_uarm_Z,torso_r_uarm_X,torso_r_uarm_Y,torso_r_uarm_Z,l_uarm_l_larm_X,l_uarm_l_larm_Y,l_uarm_l_larm_Z,l_larm_l_hand_X,l_larm_l_hand_Y,l_larm_l_hand_Z,r_uarm_r_larm_X,r_uarm_r_larm_Y,r_uarm_r_larm_Z,r_larm_r_hand_X,r_larm_r_hand_Y,r_larm_r_hand_Z,l_thigh_l_shank_X,l_thigh_l_shank_Y,l_thigh_l_shank_Z,l_shank_l_foot_X,l_shank_l_foot_Y,l_shank_l_foot_Z,l_foot_l_toes_X,l_foot_l_toes_Y,l_foot_l_toes_Z,r_thigh_r_shank_X,r_thigh_r_shank_Y,r_thigh_r_shank_Z,r_shank_r_foot_X,r_shank_r_foot_Y,r_shank_r_foot_Z,r_foot_r_toes_X,r_foot_r_toes_Y,r_foot_r_toes_Z
1,0.016666666666666666,4.981330101235623,-2.878832582235316,0.0411820238954617,8.151794710249783,-1.0129816423705802,1.0533537925068865,5.184362488329166,-4.032455831033549,-3.669409748041051,15.640322068268633,2.322905104284135,-3.366542336146274,-0.46196453700943196,11.556050942317743,-4.168778768751146,-8.813194458196854,-13.291928566073942,15.842111924573622,-4.956582427484786,22.13089318311473,-102.96412481149784,2.4384248311001837,-3.974890606972671,-0.16913134035161081,-10.875911394099967,-28.483720494858698,111.94316160447283,2.809059863566644,4.387534047088902,0.21507185535780401,-2.6132443192164123,1.0163810838780747,13.17939572802361,6.559310664285623,-2.9398689388058976,-4.179855699439582,-2.775342231776802,1.2343045718948712e-08,-2.475622893034072e-07,0.7062951390592437,-0.7707050791723434,-16.07963312942231,0.7290143398853969,6.830767290014057,0.10664308214045101,-1.5532334608162446,-1.0754969322056527e-08,4.406974552947166e-07
2,0.03333333333333333,3.886846695978873,-2.7004950459960706,-0.0019528225731862512,7.002441862536647,-1.2837485504809847,0.33433831861310753,4.861263611967949,-3.414161093611988,-5.873511962293557,17.274497270206634,2.173399797008287,-1.1212854193161188,-0.1694048551487485,11.309012690077044,-2.853586531700165,-8.04925733437538,-13.605089639640285,15.547609415881828,-5.789003697170002,22.25064489821493,-104.98884789179469,4.258944829526175,-3.3832363630290354,-0.2518009058432765,-9.172808038937143,-28.166949441770864,108.88494606305082,4.086559747419717,4.43423440149983,0.3164844767919551,-1.6257262264249537,1.862369770251532,14.759447189816832,6.111216724670604,-3.2355739617763937,-4.620402504993093,-4.058267471961416,2.728190750228324e-09,3.9293611383473116e-08,0.6794090258443604,-1.3740673960495682,-14.943323444231433,-0.15096202780379123,8.468657156904843,0.8957337270982672,-0.9040721629591364,-2.8652535736713125e-08,-1.8474970155798712e-07
3,0.05,4.582657393402649,-2.339502203460017,-0.1898692447723389,7.728247164620339,-0.620973858356016,0.7561634920221154,5.4504985076079056,-3.2609762356655576,-4.255456820318194,16.942496843796512,1.659641380143309,-0.9441265057220058,-0.6582309526954945,11.192472993465982,-3.504155704674803,-8.181234833731883,-13.278075767932927,16.739129676487277,-6.680676821189798,22.27696868858754,-107.17130697946878,3.841518754484423,-4.913226685437696,-0.3257283144150068,-7.914587182754518,-28.190183981488882,106.37761373424331,2.862565819082635,5.239074624608811,0.2600208527251757,-1.8740069547290235,1.2093690078888821,14.572094729007523,6.00636407204105,-3.520714042451903,-4.484045588420001,-3.2234007768259367,-1.8052014149988468e-08,-2.862333007468745e-07,0.38849504395289264,-1.2405882854398047,-16.760625451456942,0.5067970472185094,7.672780605319395,1.3282000057138763,-0.9008051555593176,-1.329803525093933e-07,7.306082433694718e-08
4,0.06666666666666667,4.79074947547584,-2.3060551845414263,-0.07087429324972319,7.795666731719782,-0.4754441958171041,0.9084622796889839,5.607235159124184,-3.3793784283640274,-3.825980226987734,16.22985379403233,1.445220628656636,-0.7559715333747656,-0.8210111087052605,11.176677276636855,-4.069497488048654,-8.253004084411973,-13.362881295506686,16.97657568409037,-7.2384347499446156,22.009148505659233,-108.73002333673527,4.308656883874259,-5.655538656945803,-0.42609155940464705,-8.101162094229595,-28.345475084481997,106.66337141854088,3.3404407366926923,5.5890784233347555,0.3267173419541049,-1.6915324119258335,0.8441595598290915,14.573769353005211,5.920481200513872,-3.8226920175399446,-4.501350011982396,-3.544758139504794,-6.998891998760314e-08,-8.747741999801425e-07,0.42198052380773643,-1.1072853411704262,-16.55350580376819,0.8086163101440605,7.554470401509767,0.7921911483611018,-1.520370697129379,1.3248840975570198e-07,-1.4565322930262716e-08
5,0.08333333333333333,4.807569177252251,-2.5104078191591,0.12476724754692192,7.506803434425105,-0.727256927749412,1.0185381374152147,5.592151027401727,-3.6661668553882034,-4.284990392204919,15.438039737410445,1.3677008096067906,-0.36953948866387903,-0.9212181745761705,11.298090925808669,-4.700402206410487,-8.23540870155496,-13.543581674439022,16.90083804116626,-7.080105356424128,21.778791033627048,-108.50631409431392,5.119026392562001,-6.274469799866823,-0.5628407668383626,-8.832667734776077,-28.03976176022531,108.29192828554031,4.108578433537847,5.409946303193153,0.38930716754107897,-1.1893876152085152,0.7492092329064787,14.601512951382242,5.661360465136538,-3.8128595873475235,-4.71698821612073,-4.021340391208888,-5.282417881599319e-09,-4.081754000789047e-07,0.5051580771327576,-0.9662333643840827,-15.27405194146786,0.8281966938721997,7.756026399761067,-0.04654061260881441,-1.9056811224353565,-1.2781770159487917e-07,6.92929007196844e-08
6,0.1,4.941336995250705,-2.749668409990042,0.19681379243173708,7.30263619773564,-1.0674436633701228,1.1079264144746637,5.765112006990375,-3.8835069388885297,-4.954634751625708,15.021762565007146,1.3253158797446871,-0.026614727564333678,-1.0871900749061822,11.457898353548227,-5.081866675444044,-8.075452646424349,-13.560616882358413,16.7901397146288,-6.386618608784954,21.757597879476926,-106.79882138614272,5.707738963832593,-6.853094623168536,-0.6826243643860637,-9.541769094159871,-27.051131699875487,110.31220932724587,4.035193421451908,4.913218554448848,0.35121565966448787,-0.6425888869845954,0.799652050610601,14.461825962528,5.247096258314818,-3.432679348257492,-4.804642702828971,-3.7069675401168545,-3.54857157476817e-08,-5.015214278626971e-07,0.3819747340994062,-0.9422215182321968,-14.437822060925809,0.64152060144369,7.820006378910962,-0.2184018080293943,-1.5028571572476384,-7.882348311521072e-08,-1.480044012753928e-07
7,0.11666666666666667,5.320618988208127,-2.8051027155539914,0.09782458231276153,7.490538581284428,-1.1866319058828887,1.1625608878348082,6.294722177861994,-3.826741873407228,-5.283657890964329,15.09723336636068,1.2627731088496836,0.06670338301785499,-1.26726990440922,11.497201762296363,-4.928724412297562,-7.919131203264732,-13.392987948815858,16.593874704875436,-6.010449120367331,21.803061727414327,-105.82889693389573,5.951645064500738,-7.166990435356824,-0.7427992331467914,-10.189823473581974,-26.030366848731813,112.28256457096653,3.0483682535373737,4.693307173650612,0.2513251956390611,-0.3184930058067642,0.7817193331010114,14.19408405956833,4.9389132544103065,-3.096767662284141,-4.617917996304925,-2.711775312039189,-7.996944968916076e-09,2.7596610546524524e-07,0.05313674373485773,-1.145881751690375,-14.792231046966991,0.4497375252868475,7.637989919614686,0.6255452292639475,-0.767842292252377,-1.341892304549427e-07,6.9781070590081e-08
8,0.13333333333333333,5.5988187516807,-2.723335266850054,-0.03095984693504856,7.68309201938783,-1.165519976876972,1.3479411292498753,6.758948700742587,-3.600567003635331,-5.500199801920808,15.373559685453655,1.2043234042193622,0.05034931047105032,-1.384079084977962,11.413164257775351,-4.413863560724307,-7.967257035503467,-13.20836415927649,16.286664388153326,-6.279646039223507,21.7674815626942,-106.53095015769239,6.047828204284146,-7.0163300324703215,-0.7402719769833747,-10.862783029288066,-25.668568878784477,113.87839875407417,1.882813506988747,5.050009789316654,0.16145629440617792,-0.08488776741840962,0.6701703438061619,14.003426545160018,4.87008165450769,-3.186580991113515,-4.5605908480968385,-2.2314154416269925,-1.5009902652699692e-08,2.819489023600929e-07,-0.1881583748351083,-1.4698231180379004,-15.302391296636605,0.40215386564759464,7.489969109651629,1.5928489355427142,-0.374694571692018,7.737804823467282e-08,2.1935136471344954e-07
9,0.15,5.456787773899743,-2.639174847787071,-0.05932762769849373,7.365659247468242,-1.1459639421474406,1.7518527424059918,6.688295141676174,-3.4370606874449163,-5.840876403670479,15.569169396705355,1.145795965092761,0.05243413014914653,-1.5230304067739318,11.323722486734283,-4.1212172272554275,-8.146410799340504,-13.104516637752097,16.124570072116242,-6.610359613109359,21.669649869057892,-107.42659412707634,5.879816778800199,-6.516975688035501,-0.6718292038132452,-11.278727629768863,-25.80151783504485,114.60769640419308,0.8868620767617433,5.703898983260065,0.0839958231541999,0.32585530989094313,0.5233226551092408,13.999404445884709,4.9414119344071255,-3.616656592424453,-4.903838171986578,-3.195084251203812,-2.0274356761458106e-08,-6.284228504168569e-07,-0.15861716765715478,-1.6252140543591471,-15.03005811017626,0.5393154700116922,7.38541623817902,1.7437756461998069,-0.49334627860652236,5.117961576795821e-08,3.4635109600133385e-07
10,0.16666666666666666,5.075020927671365,-2.4905372125003606,-0.03206681287143499,6.715932890506014,-1.0599536723394796,2.006312657507617,6.209969145497428,-3.402883518312038,-6.073725302261789,15.673082311251546,1.0543243569270846,0.09230023909111844,-1.7209083490198964,11.263041467727183,-4.454038856592637,-8.276728909060056,-13.12609893406119,16.28387305118267,-6.458659813766182,21.550035299403252,-107.12443016621152,5.241723778670482,-6.072492084627815,-0.5579916598055336,-11.25379233595535,-25.83415850014039,114.54073199585227,-0.036853828021803016,6.035619108713113,-0.002845519825429147,0.7979044548709459,0.39909362901744894,14.336948758323278,5.030747641753759,-4.036850182103985,-5.422541566528483,-5.048961854658917,4.1783761072384675e-08,5.124572956055245e-07,0.031317199963314946,-1.5079434463576866,-14.431726330220712,0.7410280004476061,7.3002754448487615,1.2373372933945213,-0.9992707086524607,-6.271673437506152e-08,-1.1319814096381047e-07
